setName	alignableReads1	nSites1	alignableReads2	nSites2
BRADY-PSEUDO-CD4ZETA-TCELL-P22-D12182001-MSE-JUN2011	2557	12	2602	15
BRADY-PSEUDO-CD4ZETA-TCELL-P22-D12182001-MU-JUN2011	160	2	79	1
BRADY-PSEUDO-CD4ZETA-TCELL-P233-D011100-MSE-NOV2010	3345	4	3597	6
BRADY-PSEUDO-CD4ZETA-TCELL-P233-D063904-MSE-NOV2010	4789	4	1361	18
BRADY-PSEUDO-CD4ZETA-TCELL-P233-D063904-MU-FEB2011	465	4	393	8
BRADY-PSEUDO-CD4ZETA-TCELL-P233-D063904-TSP-NOV2010	22	3	21	3
BRADY-PSEUDO-CD4ZETA-TCELL-P233-D070501-MSE-NOV2010	1124	2	1029	3
BRADY-PSEUDO-CD4ZETA-TCELL-P233-D070501-TSP-NOV2010	1	1	5	3
BRADY-PSEUDO-CD4ZETA-TCELL-P233-D073008-MSE-NOV2010	1548	28	1367	28
BRADY-PSEUDO-CD4ZETA-TCELL-P233-D073008-TSP-NOV2010	8	2	7	2
BRADY-PSEUDO-CD4ZETA-TCELL-P25-D02252002-MSE-JUN2011	2655	962	2421	931
BRADY-PSEUDO-CD4ZETA-TCELL-P25-D02252002-MU-JUN2011	1052	107	882	100
BRADY-PSEUDO-CD4ZETA-TCELL-P25-D02252002-TSP-JUN2011	1793	325	1745	312
BRADY-PSEUDO-CD4ZETA-TCELL-P25-D03262010-MSE-JUN2011	2102	15	1984	16
BRADY-PSEUDO-CD4ZETA-TCELL-P25-D03262010-MU-JUN2011	2305	3	2635	3
BRADY-PSEUDO-CD4ZETA-TCELL-P25-D03262010-TSP-JUN2011	301	6	301	6
BRADY-PSEUDO-CD4ZETA-TCELL-P26-D03252002-MSE-JUN2011	2329	342	2609	341
BRADY-PSEUDO-CD4ZETA-TCELL-P26-D03252002-MU-JUN2011	1394	70	1186	64
BRADY-PSEUDO-CD4ZETA-TCELL-P26-D03252002-TSP-JUN2011	1421	176	1327	170
BRADY-PSEUDO-CD4ZETA-TCELL-P26-D07172002-MSE-JUN2011	2860	157	2521	156
BRADY-PSEUDO-CD4ZETA-TCELL-P26-D07172002-MU-JUN2011	1596	12	1512	15
BRADY-PSEUDO-CD4ZETA-TCELL-P30-D03262010-MSE-JUN2011	959	10	779	16
BRADY-PSEUDO-CD4ZETA-TCELL-P30-D03262010-MU-JUN2011	1097	1	1022	1
BRADY-PSEUDO-CD4ZETA-TCELL-P30-D03262010-TSP-JUN2011	1878	9	1791	7
BRADY-PSEUDO-CD4ZETA-TCELL-P30-D08122002-MSE-JUN2011	4848	1810	4394	1778
BRADY-PSEUDO-CD4ZETA-TCELL-P30-D08122002-MU-JUN2011	1682	355	1438	328
BRADY-PSEUDO-CD4ZETA-TCELL-P30-D08122002-TSP-JUN2011	1563	464	1432	459
BRADY-PSEUDO-CD4ZETA-TCELL-P30-D11142002-MSE-JUN2011	1182	57	1105	59
BRADY-PSEUDO-CD4ZETA-TCELL-P30-D11142002-MU-JUN2011	105	3	103	4
BRADY-PSEUDO-CD4ZETA-TCELL-P30-D11142002-TSP-JUN2011	135	9	193	9
BRADY-PSEUDO-CD4ZETA-TCELL-P32-D01122010-MSE-JUN2011	2297	3	2076	3
BRADY-PSEUDO-CD4ZETA-TCELL-P32-D01122010-MU-JUN2011	1	1	1	1
BRADY-PSEUDO-CD4ZETA-TCELL-P32-D01122010-TSP-JUN2011	457	3	570	3
BRADY-PSEUDO-CD4ZETA-TCELL-P32-D01282003-MSE-JUN2011	2266	24	2020	28
BRADY-PSEUDO-CD4ZETA-TCELL-P32-D01282003-MU-JUN2011	875	2	852	4
BRADY-PSEUDO-CD4ZETA-TCELL-P32-D01282003-TSP-JUN2011	165	16	161	15
BRADY-PSEUDO-CD4ZETA-TCELL-P32-D10012002-MSE-JUN2011	5167	1355	4701	1324
BRADY-PSEUDO-CD4ZETA-TCELL-P32-D10012002-MU-JUN2011	2997	152	2546	134
BRADY-PSEUDO-CD4ZETA-TCELL-P32-D10012002-TSP-JUN2011	1444	253	1169	258
BRADY-PSEUDO-CD4ZETA-TCELL-P404-D042105-MSE-NOV2010	3008	22	2394	26
BRADY-PSEUDO-CD4ZETA-TCELL-P404-D042105-MU-FEB2011	3238	2	481	3
BRADY-PSEUDO-CD4ZETA-TCELL-P404-D042105-TSP-NOV2010	11	8	12	9
BRADY-PSEUDO-CD4ZETA-TCELL-P404-D050802-MSE-NOV2010	3646	17	3162	18
BRADY-PSEUDO-CD4ZETA-TCELL-P404-D050802-MU-FEB2011	1368	3	3267	5
BRADY-PSEUDO-CD4ZETA-TCELL-P404-D050802-TSP-NOV2010	106	13	84	13
BRADY-PSEUDO-CD4ZETA-TCELL-P404-D121598A-MSE-NOV2010	4395	31	3686	32
BRADY-PSEUDO-CD4ZETA-TCELL-P404-D121598A-MU-FEB2011	1976	3	1467	7
BRADY-PSEUDO-CD4ZETA-TCELL-P404-D121598A-TSP-NOV2010	59	10	38	14
BRADY-PSEUDO-CD4ZETA-TCELL-P404-D121598B-MSE-NOV2010	5935	76	4463	68
BRADY-PSEUDO-CD4ZETA-TCELL-P404-D121598B-MU-FEB2011	159	3	13	4
BRADY-PSEUDO-CD4ZETA-TCELL-P404-D121598B-TSP-NOV2010	1134	44	809	36
BRADY-PSEUDO-CD4ZETA-TCELL-P410-D020999-MSE-NOV2010	3258	9	2982	10
BRADY-PSEUDO-CD4ZETA-TCELL-P410-D020999-MU-FEB2011	1984	4	1092	4
BRADY-PSEUDO-CD4ZETA-TCELL-P410-D020999-TSP-NOV2010	265	10	332	9
BRADY-PSEUDO-CD4ZETA-TCELL-P410-D051402-MSE-NOV2010	5194	40	4377	37
BRADY-PSEUDO-CD4ZETA-TCELL-P410-D051402-MU-FEB2011	24	1	19	1
BRADY-PSEUDO-CD4ZETA-TCELL-P410-D051402-TSP-NOV2010	121	15	111	15
BRADY-PSEUDO-CD4ZETA-TCELL-P410-D060606-1326NG-MUPCR1ONLY-AUG2010	2	2	617	573
BRADY-PSEUDO-CD4ZETA-TCELL-P410-D060606-663NG-MUPCR1AND2-AUG2010	952	5	883	5
BRADY-PSEUDO-CD4ZETA-TCELL-P410-D060606-663NG-MUPCR1ONLY-AUG2010	7	7	1079	984
BRADY-PSEUDO-CD4ZETA-TCELL-P410-D060606-MSE-NOV2010	6094	22	5637	24
BRADY-PSEUDO-CD4ZETA-TCELL-P410-D060606-MSE-PCR1AND2-SEP2010	2866	9	2596	20
BRADY-PSEUDO-CD4ZETA-TCELL-P410-D060606-MU-PCR1AND2-AUG2010	2336	2	894	3
BRADY-PSEUDO-CD4ZETA-TCELL-P410-D060606-TSP-NOV2010	4643	5	4525	7
BRADY-PSEUDO-CD4ZETA-TCELL-P410-D060606-TSP-PCR1AND2-SEP2010	2936	3	1601	3
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D041006-MSE-NOV2010	2186	14	2518	13
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D041006-MU-FEB2011	2349	4	1380	9
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D041006-TSP-NOV2010	38	7	33	8
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D041405-MSE-NOV2010	1280	10	605	12
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D041405-MU-FEB2011	1593	1	852	1
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D041405-MU-PCR1AND2-AUG2010	3334	3	1202	3
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D041405-TSP-NOV2010	1360	6	879	9
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D062299-2343NG-MUPCR1AND2-AUG2010	1110	11	945	11
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D062299-2343NG-MUPCR1ONLY-AUG2010	3	3	467	439
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D062299-MSE-NOV2010	2445	12	1357	17
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D062299-MSE-PCR1AND2-SEP2010	1657	26	1116	38
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D062299-MU-FEB2011	285	1	302	3
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D062299-MU-PCR1AND2-AUG2010	836	6	642	7
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D062299-MU-PCR1ONLYAUG2010	1	1	76	74
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D062299-TSP-NOV2010	5	1	6	3
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D062299-TSP-PCR1AND2-SEP2010	404	9	399	14
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D110608-MSE-NOV2010	1445	15	1455	14
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D110608-MU-FEB2011	328	1	13	2
BRADY-PSEUDO-CD4ZETA-TCELL-P707-D110608-TSP-NOV2010	226	10	238	14
BRADY-PSEUDO-CD4ZETA-TCELL-P725-D102098-MSE-NOV2010	10305	5	9653	19
BRADY-PSEUDO-CD4ZETA-TCELL-P725-D102098-MU-FEB2011	154	1	9	1
BRADY-PSEUDO-CD4ZETA-TCELL-P725-D111401-MSE-NOV2010	135	2	125	2
BRADY-PSEUDO-CD4ZETA-TCELL-P801-D082599-MSE-NOV2010	6173	9	5219	10
BRADY-PSEUDO-CD4ZETA-TCELL-P801-D082599-MU-FEB2011	620	2	14	1
BRADY-PSEUDO-CD4ZETA-TCELL-P801-D082599-TSP-NOV2010	1496	4	4823	4
BRADY-PSEUDO-CD4ZETA-TCELL-P801-D100603-MSE-NOV2010	6286	8	4673	6
BRADY-PSEUDO-CD4ZETA-TCELL-P801-D100603-TSP-NOV2010	8085	2	5431	3
BRADY-PSEUDO-CD4ZETA-TCELL-P801-D110508-MSE-NOV2010	3596	3	2757	14
BRADY-PSEUDO-CD4ZETA-TCELL-P801-D111898-MSE-NOV2010	10486	3	10541	4
BRADY-PSEUDO-CD4ZETA-TCELL-P801-D111898-MSE-PCR1AND2-SEP2010	1887	17	802	18
BRADY-PSEUDO-CD4ZETA-TCELL-P801-D111898-MSE-PCR1ONLYSEP2010	1	1	122	31
BRADY-PSEUDO-CD4ZETA-TCELL-P801-D111898-TSP-NOV2010	10821	2	10842	4
BRADY-PSEUDO-CD4ZETA-TCELL-P801-D111898-TSP-PCR1AND2-SEP2010	2843	6	1427	9
